16,安娜贝尔2：诞生,大卫·F·桑德伯格,加里·多伯曼,斯黛芬妮·西格曼;特丽莎·贝特曼;露露·威尔逊;米兰达·奥图;安东尼·拉帕格利亚;艾丽西娅·维拉-贝利;格蕾丝·富尔顿;萨马拉·李;菲利帕·库特哈德;约瑟夫·比沙拉;凯莉·奥马利;布莱恩·豪威;亚当·巴特利;洛塔·洛森;布拉德·格林奎斯特;泰勒·巴克;马克·布拉姆霍尔;利亚姆·詹姆斯·拉莫斯;卢·卢·萨夫兰;泰勒·A·约翰逊;卡拉莱·奥斯汀,悬疑;惊悚;恐怖,美国,英语,2017-08-11(美国)
17,暗黑女子,耶云哉治,冈田磨里,清水富美加;饭丰万理江;清野菜名;玉城蒂娜;小岛梨里杏;平祐奈;升毅;千叶雄大,悬疑,日本,日语,2017-04-01(日本)
18,傲娇与偏见,李海蜀;黄彦威,李海蜀;黄彦威;媚媚猫;张秀洁;韩瑞;马月红,迪丽热巴;张云龙;高伟光;金晨;马薇薇;范湉湉;披拉·尼迪裴善官;周海媚;樊野;李彧,喜剧;爱情,中国大陆,汉语普通话,2017-04-20(中国大陆)
19,奥斯曼中尉,约瑟夫·鲁本,杰夫·斯托克韦尔,米契尔·哈思曼;海拉·西尔玛;乔什·哈奈特;本·金斯利;哈鲁克·比尔根纳尔;阿菲·班·巴德拉;保罗·巴雷特;杰西卡·特纳;彼得·霍斯金;塞尔柱克·约奈坛,剧情;战争,土耳其 / 美国,英语,2017-03-10(美国);2017-05-19(土耳其)
20,巴霍巴利王(下)：终结,S·S·拉贾穆里,曼孔布·戈帕拉克里希南;马德汉·卡尔基;C·H·维杰·库马尔;马努杰·芒塔希尔;维杰耶德拉·普拉萨德;S·S·拉贾穆里,帕拉巴斯;拉纳·达格巴提;安努舒卡·谢蒂;特曼娜·芭蒂亚;萨伯拉杰;拉姆亚·克里希南;纳赛尔;挲塞亚拉杰,剧情;动作;战争;奇幻;冒险,印度,泰卢固语 / 泰米尔语 / 印地语 / 马拉雅拉姆语,2017-04-28(印度)
21,爸爸是女儿,金惠荣,崔允美;金娜里;乔晟佑;金吉森,尹宰文;郑素敏;申久;李日花;李美度;沈亨倬;姜其永;许嘉允;敏度希;朴明秀,剧情;喜剧;奇幻,韩国,韩语,2017-04-12(韩国)
22,百鸟朝凤,吴天明,吴天明;罗雪莹;肖江虹,陶泽如;李岷城;嵇波;胡先煦;郑伟;迟蓬;袁中方;墨阳;张喜前;谭群;王长玲;周天羽;张双成;许还山,剧情,中国大陆,汉语普通话,2016-05-06(中国大陆);2017-04-20(中国大陆重映);2013-09-25(金鸡百花电影节)
23,百日孤独,克里斯蒂安·帕斯奎雷罗,克里斯蒂安·帕斯奎雷罗;加布里埃尔·费弗,伊万·瑞恩;安德烈·赫尼克;雷纳·沃纳;佐伊·格莱斯戴尔;尼尔斯-布鲁诺·施密特;蒂姆·威廉姆斯;克里斯蒂安·帕斯奎雷罗,科幻;惊悚;恐怖,德国,英语,2017-03-11(日本);2017-06-17(上海电影节);2017-12-07(德国)
24,绑架,路易斯·普瑞托,内特·李,哈莉·贝瑞;塞奇·科雷亚;克里斯·麦金;卢·坦普尔;杰森·乔治;克里斯托弗·贝瑞;阿荣·希弗;柯蒂斯·贝德福特;卡梅拉·莱利;布莱斯·费舍尔;珍妮·文特里斯;蒂莫西·范农;安迪·瓦格纳;梅莉尔·罗斯,动作;惊悚,美国,英语,2017-05-21(挪威);2017-08-04(美国)
25,宝贝老板,汤姆·麦格拉思,迈克尔·麦库勒斯;玛拉·弗雷齐,亚历克·鲍德温;迈尔斯·克里斯托弗·巴克什;吉米·坎摩尔;丽莎·库卓;史蒂夫·布西密;托比·马奎尔;詹姆斯·麦格拉思;康拉德·弗农;薇薇安·叶;小埃里克·贝尔;大卫·索伦;伊迪·米尔曼;詹姆斯·雷恩;沃尔特·道恩;朱尔斯·温特,喜剧;动画,美国,英语,2017-03-12(迈阿密电影节);2017-03-31(美国)
26,保安官,金炯柱,金炯柱,李圣旻;赵震雄;金成钧;赵宇镇;林贤成,喜剧;犯罪,韩国,韩语,2017-05-03(韩国)
27,报告老师！怪怪怪怪物！,九把刀,九把刀,邓育凯;蔡凡熙;陈珮骐;刘奕儿;林姵妡;赖浚程;陶柏萌;梁洳瑄;乾德门;布鲁斯;蔡昌宪;宋芸桦;柯震东;侯彦西,剧情;恐怖,台湾,汉语普通话,2017-04-23(香港电影节);2017-07-28(台湾)
28,暴雪将至,董越,董越,段奕宏;江一燕;杜源;郑伟;郑楚一;张林,剧情;悬疑;犯罪,中国大陆,汉语普通话,2017-11-17(中国大陆);2017-10-29(东京电影节)
