413,亚瑟王：斗兽争霸,盖·里奇,卓比·哈罗德;盖·里奇;莱昂内尔·威格拉姆;大卫·道金,查理·汉纳姆;裘德·洛;阿斯特丽德·伯格斯-弗瑞斯贝;米卡埃尔·佩斯布兰特;杰曼·翰苏;安娜贝拉·沃丽丝;艾瑞克·巴纳;艾丹·吉伦;尼尔·马斯克尔;赫敏·科菲尔德;凯蒂·麦克格雷斯;杰奎·安斯蕾;弗莱迪·福克斯;波比·迪瓦伊;朱利安·西格尔;大卫·贝克汉姆;杰夫·贝尔;米莉·布拉迪;乔治娜·坎贝尔;丹尼尔·斯蒂森;伊琳·珀威尔;迈克尔·麦克埃尔哈顿;阿德里安·布薛特;彼得·费迪南多;汤姆·吴;金斯利·本-阿德;盖·里奇,动作;奇幻;冒险,美国,英语,2017-05-12(中国大陆/美国)
415,养家之人,诺拉·托梅,安妮塔·多兰;黛博拉·伊莉丝,莎拉·乔德利;索玛·查亚;诺林·古拉姆高斯;拉腊·萨迪克;阿里·巴德沙阿;莎斯塔·拉蒂夫;坎扎·费里斯;卡瓦·阿达;凯恩·马洪;阿里·卡兹米;曼·沃尔克哈德;雷扎·索勒,剧情;动画;家庭,爱尔兰 / 加拿大 / 卢森堡,英语,2018-04(中国大陆);2017-09-08(多伦多电影节);2018-05-25(爱尔兰)
416,妖精的尾巴剧场版：龙泣,南川達馬,真岛浩,柿原彻也;平野绫;钉宫理惠;中村悠一,动画,日本,日语,2017-05-06(日本)
417,妖铃铃,吴君如,周运海;查慕春;王贻兴,吴君如;沈腾;岳云鹏;张译;Papi酱;吴镇宇;方中信;焦俊艳;潘斌龙;阿如那;许君聪;李亦航;周冬雨;马思纯;李尚正,喜剧;恐怖,中国大陆,汉语普通话,2017-12-29(中国大陆)
418,妖猫传,陈凯歌,王蕙玲;陈凯歌;梦枕貘,黄轩;染谷将太;张雨绮;秦昊;张榕容;刘昊然;欧豪;张鲁一;阿部宽;田雨;刘佩琦;辛柏青;成泰燊;李淳;秦怡;松坂庆子;张天爱;周中和;火野正平;夏楠;陈旭;王迪;宋运成;刘国华,剧情;悬疑;奇幻;古装,中国大陆 / 日本,汉语普通话 / 日语,2017-12-22(中国大陆);2018-02-24(日本)
419,摇滚学徒,吉约姆·卡内,吉约姆·卡内;鲁道夫·洛加;菲利普·莱夫布瓦尔,吉约姆·卡内;玛丽昂·歌迪亚;菲利普·莱夫布瓦尔;吉尔·勒卢什;卡蜜尔·罗;凯文·亚当斯;本·福斯特;马克西姆·努齐;亚霍尔·普波;伊万·阿达勒;亚兰·阿达勒;约翰尼·哈里戴;拉蒂西亚·哈莉黛;蒂芬·米歇尔-博尔吉;法布里斯·拉米;阿诺·翁利叶,剧情;喜剧;音乐,法国,法语,2017-02-15(法国)
421,夜空总有最大密度的蓝色,石井裕也,石井裕也;最果夕日,石桥静河;池松壮亮;松田龙平;市川实日子;田中哲司;佐藤玲;三浦贵大;大西力;野嵜好美,剧情;爱情,日本,日语,2017-02-13(柏林电影节);2017-05-13(日本)
422,夜晚的灵魂,赖舒·彼查,斯科特·纽斯塔德;迈克尔·H·韦伯;肯特·哈鲁夫,简·方达;罗伯特·雷德福;朱迪·格雷尔;马提亚斯·修奈尔;伊恩·阿米蒂奇;布鲁斯·邓恩;菲利斯·萨莫维尔;莱娜·刘易斯;迈克尔·洛夫·托利弗;吉兰妮欧·马格罗斯;奥德丽·沃尔特斯;霍莉·彭福尔德;泰德·马里兹;安迪·汉金斯,剧情;爱情,美国,英语,2017-09-01(威尼斯电影节);2017-09-29(美国)
423,一锤定音,里克·罗曼·沃夫,里克·罗曼·沃夫,尼古拉·科斯特-瓦尔道;蕾克·贝尔;乔·博恩瑟;杰弗里·多诺万;欧玛瑞·哈德威克;霍特·麦克卡兰尼;洁西·斯克拉姆;本杰明·布拉特;迈克尔·兰德斯;艾莫里·科恩;伊万·琼斯;胡安·巴勃罗·拉瓦;克里斯·勃朗宁;萨拉·明妮奇;基思·雅各;马特·杰拉德,剧情;惊悚;犯罪,美国,英语,2017-06-17(洛杉矶电影节);2017-08-18(美国)
424,一呼一吸,安迪·瑟金斯,威廉姆·尼克尔森,安德鲁·加菲尔德;克莱尔·芙伊;爱德华·斯皮伊尔斯;汤姆·霍兰德;本·劳埃德-休斯;米兰达·莱森;卡米拉·拉瑟福德;查尔斯·斯特里特;佩妮·唐尼;阿米特·沙阿;乔纳森·海德;艾米莉·贝文;罗杰·阿什顿-格里菲斯;大卫·威尔莫特;帕特里克·戈弗雷;休·博纳维尔;洛琳·艾什本;萝西·凯弗利洛;西尔维斯特·格罗特;哈利·马库斯;迪恩·查尔斯·查普曼;大卫·巴特勒;安德烈·雅各布斯;泰瑞·诺顿,剧情;爱情;传记,英国,英语,2017-09-11(多伦多电影节);2017-10-27(英国)
